timeframe,time,open,high,low,close,volume
1D,2010-03-08T00:00:00,10563.780273,10587.740234,10542.389648,10552.519531,171780000.0
1D,2010-03-09T00:00:00,10552.240234,10612.599609,10533.929688,10564.379883,219860000.0
1D,2010-03-10T00:00:00,10560.129883,10601.790039,10526.519531,10567.330078,186570000.0
1D,2010-03-11T00:00:00,10560.980469,10611.839844,10507.169922,10611.839844,150000000.0
1D,2010-03-12T00:00:00,10611.769531,10644.950195,10594.839844,10624.69043,166140000.0
1D,2010-03-15T00:00:00,10623.410156,10644.19043,10570.509766,10642.150391,160570000.0
1D,2010-03-16T00:00:00,10642.530273,10693.990234,10621.900391,10685.980469,227410000.0
1D,2010-03-17T00:00:00,10686.360352,10767.980469,10686.360352,10733.669922,194190000.0
1D,2010-03-18T00:00:00,10733.44043,10784.0,10728.150391,10779.169922,153280000.0
1D,2010-03-19T00:00:00,10780.0,10819.900391,10694.219727,10741.980469,434190000.0
1D,2010-03-22T00:00:00,10741.0,10809.849609,10695.129883,10785.889648,157200000.0
1D,2010-03-23T00:00:00,10787.179688,10893.889648,10784.759766,10888.830078,189140000.0
1D,2010-03-24T00:00:00,10887.620117,10887.839844,10825.419922,10836.150391,195570000.0
1D,2010-03-25T00:00:00,10837.509766,10955.480469,10834.19043,10841.209961,200330000.0
1D,2010-03-26T00:00:00,10841.290039,10909.379883,10816.429688,10850.360352,175490000.0
1D,2010-03-29T00:00:00,10849.230469,10916.639648,10849.230469,10895.860352,136710000.0
1D,2010-03-30T00:00:00,10895.019531,10940.219727,10866.830078,10907.419922,148810000.0
1D,2010-03-31T00:00:00,10907.339844,10907.419922,10832.830078,10856.629883,197060000.0
1D,2010-04-01T00:00:00,10857.30957,10956.389648,10857.30957,10927.070312,159520000.0
1D,2010-04-05T00:00:00,10927.450195,10988.05957,10923.969727,10973.549805,139480000.0
1D,2010-04-06T00:00:00,10972.490234,10987.379883,10927.519531,10969.990234,159960000.0
1D,2010-04-07T00:00:00,10961.950195,10962.660156,10845.450195,10897.519531,187000000.0
1D,2010-04-08T00:00:00,10896.990234,10949.360352,10844.089844,10927.070312,158930000.0
1D,2010-04-09T00:00:00,10926.919922,11000.980469,10926.919922,10997.349609,150660000.0
1D,2010-04-12T00:00:00,10996.75,11029.769531,10992.209961,11005.969727,153960000.0
1D,2010-04-13T00:00:00,11006.719727,11038.919922,10947.769531,11019.419922,183950000.0
