timeframe,time,open,high,low,close,volume
1D,2010-01-04T00:00:00,115.0,115.65625,114.6875,115.09375,171137.0
1D,2010-01-05T00:00:00,115.25,116.15625,115.125,116.03125,204871.0
1D,2010-01-06T00:00:00,115.84375,115.875,114.90625,115.3125,262691.0
1D,2010-01-07T00:00:00,115.0625,115.71875,114.8125,115.28125,244454.0
1D,2010-01-08T00:00:00,115.1875,115.78125,114.75,115.46875,244454.0
1D,2010-01-11T00:00:00,115.125,115.59375,114.875,115.1875,244454.0
1D,2010-01-12T00:00:00,115.25,116.9375,115.25,116.8125,244454.0
1D,2010-01-13T00:00:00,116.875,117.0625,115.75,115.9375,234650.0
1D,2010-01-14T00:00:00,115.84375,117.09375,115.75,116.78125,256463.0
1D,2010-01-15T00:00:00,116.71875,117.75,116.6875,117.375,225112.0
1D,2010-01-19T00:00:00,117.40625,117.84375,116.75,117.15625,207008.0
1D,2010-01-20T00:00:00,117.28125,118.125,117.25,117.96875,218212.0
1D,2010-01-21T00:00:00,117.96875,118.84375,117.71875,118.625,284956.0
1D,2010-01-22T00:00:00,118.78125,119.09375,118.40625,118.84375,283179.0
1D,2010-01-25T00:00:00,118.59375,118.71875,118.0625,118.3125,178319.0
1D,2010-01-26T00:00:00,118.375,119.1875,118.1875,118.28125,210760.0
1D,2010-01-27T00:00:00,118.3125,119.125,118.1875,118.34375,273479.0
1D,2010-01-28T00:00:00,118.25,118.46875,117.625,118.15625,275420.0
1D,2010-01-29T00:00:00,118.375,119.21875,117.71875,118.8125,317191.0
1D,2010-02-01T00:00:00,119.125,119.125,118.0,118.15625,223137.0
1D,2010-02-02T00:00:00,118.1875,118.4375,117.90625,118.40625,155623.0
1D,2010-02-03T00:00:00,118.3125,118.34375,117.25,117.375,264438.0
1D,2010-02-04T00:00:00,117.34375,119.0625,117.25,118.78125,405062.0
1D,2010-02-05T00:00:00,118.6875,119.5625,118.34375,119.5,386538.0
1D,2010-02-08T00:00:00,119.21875,119.34375,118.78125,118.9375,171818.0
1D,2010-02-09T00:00:00,119.28125,119.34375,118.15625,118.3125,323903.0
1D,2010-02-10T00:00:00,118.21875,118.65625,117.34375,117.5625,299829.0
1D,2010-02-11T00:00:00,117.5625,117.84375,116.71875,117.25,324563.0
1D,2010-02-12T00:00:00,117.34375,117.875,117.25,117.5625,249610.0
1D,2010-02-16T00:00:00,117.46875,118.03125,117.0,117.8125,226768.0
1D,2010-02-17T00:00:00,117.84375,117.875,116.53125,116.8125,275046.0
1D,2010-02-18T00:00:00,116.90625,117.25,115.90625,116.1875,356604.0
1D,2010-02-19T00:00:00,116.28125,116.875,116.1875,116.78125,303327.0
1D,2010-02-22T00:00:00,116.78125,116.8125,116.21875,116.375,269938.0
1D,2010-02-23T00:00:00,116.40625,118.0,116.3125,117.875,626225.0
1D,2010-02-24T00:00:00,117.84375,118.28125,117.53125,117.71875,633558.0
1D,2010-02-25T00:00:00,117.75,118.59375,117.65625,118.40625,398514.0
1D,2010-02-26T00:00:00,118.46875,119.28125,118.28125,119.1875,124406.0
1D,2010-03-01T00:00:00,118.84375,119.1875,118.625,118.96875,24414.0
1D,2010-03-02T00:00:00,118.96875,118.96875,118.375,118.84375,54543.0
1D,2010-03-03T00:00:00,118.875,118.9375,118.28125,118.78125,17672.0
1D,2010-03-04T00:00:00,118.71875,119.5625,118.59375,119.3125,22267.0
1D,2010-03-05T00:00:00,119.3125,119.375,118.0,118.1875,15981.0
1D,2010-03-08T00:00:00,118.1875,118.1875,117.75,117.90625,2892.0
1D,2010-03-09T00:00:00,117.96875,118.34375,117.71875,117.96875,16918.0
1D,2010-03-10T00:00:00,117.9375,118.0,117.40625,117.84375,6843.0
1D,2010-03-11T00:00:00,117.96875,118.28125,117.46875,118.125,7141.0
1D,2010-03-12T00:00:00,117.90625,118.59375,117.375,118.46875,8860.0
1D,2010-03-15T00:00:00,118.5,118.625,118.0625,118.4375,5743.0
1D,2010-03-16T00:00:00,118.5,119.3125,118.40625,119.1875,2998.0
1D,2010-03-17T00:00:00,119.21875,119.625,119.125,119.4375,2877.0
1D,2010-03-18T00:00:00,119.5625,119.875,119.125,119.25,2327.0
1D,2010-03-19T00:00:00,119.21875,119.75,118.9375,119.4375,3286.0
1D,2010-03-22T00:00:00,119.1875,119.625,119.1875,119.4375,158945.0
1D,2010-03-23T00:00:00,117.9375,118.15625,117.5625,117.71875,201031.0
1D,2010-03-24T00:00:00,117.625,117.6875,115.59375,115.84375,421794.0
1D,2010-03-25T00:00:00,115.75,116.0,114.8125,115.03125,395096.0
1D,2010-03-26T00:00:00,115.28125,115.65625,115.0,115.4375,212703.0
1D,2010-03-29T00:00:00,115.3125,115.53125,115.03125,115.5,174818.0
1D,2010-03-30T00:00:00,115.4375,115.75,115.0,115.65625,215124.0
1D,2010-03-31T00:00:00,115.71875,116.25,115.5625,116.125,317553.0
1D,2010-04-01T00:00:00,116.0625,116.21875,115.3125,115.90625,249670.0
1D,2010-04-05T00:00:00,114.90625,115.125,114.1875,114.375,220886.0
1D,2010-04-06T00:00:00,114.40625,114.96875,114.34375,114.40625,249703.0
1D,2010-04-07T00:00:00,114.5625,115.84375,114.34375,115.6875,347548.0
1D,2010-04-08T00:00:00,115.65625,115.9375,115.3125,115.40625,280889.0
1D,2010-04-09T00:00:00,115.46875,115.84375,115.09375,115.65625,234870.0
1D,2010-04-12T00:00:00,115.53125,116.4375,115.25,116.25,237637.0
1D,2010-04-13T00:00:00,116.21875,116.6875,116.0625,116.625,272428.0
1D,2010-04-14T00:00:00,116.4375,116.6875,115.78125,115.9375,281557.0
1D,2010-04-15T00:00:00,115.84375,116.375,115.46875,116.03125,279252.0
1D,2010-04-16T00:00:00,116.15625,117.0,116.125,116.875,364242.0
1D,2010-04-19T00:00:00,116.96875,117.1875,116.46875,116.5,199701.0
1D,2010-04-20T00:00:00,116.5625,116.8125,116.3125,116.75,217416.0
1D,2010-04-21T00:00:00,116.75,117.625,116.625,117.59375,293201.0
1D,2010-04-22T00:00:00,117.625,117.90625,117.15625,117.28125,308686.0
1D,2010-04-23T00:00:00,117.28125,117.46875,116.6875,116.875,284373.0
1D,2010-04-26T00:00:00,116.96875,117.46875,116.6875,116.875,213040.0
1D,2010-04-27T00:00:00,116.96875,118.75,116.90625,118.4375,420029.0
1D,2010-04-28T00:00:00,118.28125,118.5,117.4375,117.53125,369729.0
1D,2010-04-29T00:00:00,117.625,118.25,117.46875,118.21875,265175.0
1D,2010-04-30T00:00:00,118.1875,119.125,117.96875,119.0625,349988.0
1D,2010-05-03T00:00:00,118.9375,118.96875,118.46875,118.71875,201611.0
1D,2010-05-04T00:00:00,118.9375,120.34375,118.8125,120.0,388552.0
1D,2010-05-05T00:00:00,120.1875,121.4375,120.0,120.53125,497258.0
1D,2010-05-06T00:00:00,120.5625,124.5,120.09375,123.34375,682398.0
1D,2010-05-07T00:00:00,122.875,124.125,121.375,122.0,613890.0
1D,2010-05-10T00:00:00,121.4375,121.53125,120.15625,120.84375,308791.0
1D,2010-05-11T00:00:00,120.8125,121.75,120.28125,120.78125,317297.0
1D,2010-05-12T00:00:00,120.84375,121.21875,120.09375,120.3125,303060.0
1D,2010-05-13T00:00:00,120.25,121.125,119.8125,120.53125,425440.0
